sample	gisaid_epi_isl	genbank_accession
NorthernIreland/PHEC-N304N449/2021	EPI_ISL_3080652	?
NorthernIreland/RAND-1AE37D4/2021	EPI_ISL_3381519	?
Pakistan/UHS2-Pak-220/2021	EPI_ISL_3483846.2	?
Philippines/PH-PGC-64584/2021	EPI_ISL_5544524	?
Poland/KCZ_1.29/2020	EPI_ISL_2631244	?
PuertoRico/PR-CDC-LC0003683/2021	EPI_ISL_1026374	MW639248.1
PuertoRico/PR-UPRRP-4969/2021	EPI_ISL_10329729	?
Scotland/CVR9350/2021	EPI_ISL_3771191	?
Scotland/QEUH-130FD8C/2021	EPI_ISL_1277592	?
Scotland/QEUH-153CC96/2021	EPI_ISL_2022988	?
Scotland/QEUH-15B755C/2021	EPI_ISL_2396739	?
Scotland/QEUH-1D6ECB1/2021	EPI_ISL_4148343	?
Scotland/QEUH-AD4A76/2020	EPI_ISL_643994	?
Singapore/3677/2021	EPI_ISL_3572968	?
Slovakia/15316/2021	EPI_ISL_3981933	?
SouthAfrica/KRISP-K018165/2021	EPI_ISL_2693058	?
SouthAfrica/NICD-R11769/2021	EPI_ISL_3643852	?
Spain/AN-CBA-05141/2021	EPI_ISL_15675353	?
Spain/AN-CBA-09470/2021	EPI_ISL_15686183	?
Spain/CL-COV04765/2021	EPI_ISL_2958034	?
Spain/VC-IBV-99028896/2021	EPI_ISL_2362297	?
Sweden/01_SE100_21CS510678/2021	EPI_ISL_4677396	?
Sweden/14233963P/2021	EPI_ISL_1420296	?
Sweden/1951442837/2021	EPI_ISL_2618841	?
Sweden/SE1410196348/2021	EPI_ISL_2410593	?
Switzerland/GE-33355951/2021	EPI_ISL_1166773	FR992246.1
Switzerland/LU-DIA-011424151501/2021	EPI_ISL_4106029	?
Switzerland/SG-CLM-09219047/2021	EPI_ISL_4624923	?
Switzerland/SG-Risch-2192714334/2021	EPI_ISL_5150599	?
Turkey/HSGM-D245/2021	EPI_ISL_1096088	?
Turkey/HSGM-D4415/2021	EPI_ISL_3560144	?
Turkey/HSGM-D8795/2021	EPI_ISL_3592929	?
Turkey/HSGM-FS5866/2021	EPI_ISL_3415274	?
USA/AL-CDC-FG-083232/2021	EPI_ISL_5218173	?
USA/AZ-ASU12042/2021	EPI_ISL_3760349	?
USA/AZ-ASU87990/2021	EPI_ISL_14354903	?
USA/CA-CDC-ASC210001405/2021	EPI_ISL_2243451	?
